subject,body,body_length,word_count
Medical Leave Application,"Respected Manager, Kindly approve my leave from 19 January 2025 to 21 January 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Kelly",176,32
Medical Leave Application,"Hi, I would like to apply for leave from 20 March 2025 to 25 March 2025 due to mental health reasons. Please confirm if this is approved.

Regards,
Heather",155,29
Leave Application,"Hi Team, Please note I will be on leave from 01 March 2025 to 03 March 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Elizabeth",169,33
Leave Application,"Hello, I am writing to request leave for the dates 13 March 2025 to 14 March 2025. The reason for my absence is an illness. Hoping for your understanding.

Best,
Thomas",168,31
Urgent Leave Required,"Hello, I am writing to request leave for the dates 14 April 2025 to 18 April 2025. The reason for my absence is mental health reasons. Hoping for your understanding.

Best,
Maurice",180,32
Urgent Leave Required,"Hi Team, Please note I will be on leave from 17 April 2025 to 20 April 2025 due to urgent travel. Feel free to reach me in case of urgent matters.

Regards,
Mark",161,33
Request for Personal Leave,"Hi, I would like to apply for leave from 17 May 2025 to 20 May 2025 due to an emergency at home. Please confirm if this is approved.

Regards,
Shawn",148,30
Vacation Request,"Hi Team, Please note I will be on leave from 01 March 2025 to 06 March 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
John",162,33
Vacation Request,"Hello, I am writing to request leave for the dates 24 January 2025 to 25 January 2025. The reason for my absence is urgent travel. Hoping for your understanding.

Best,
Jennifer",177,31
Family Emergency Leave,"Dear HR, I need a few days off from 03 March 2025 to 04 March 2025 because of a family function. Let me know if any formalities are needed.

Thanks,
David",154,31
Vacation Request,"Respected Manager, Kindly approve my leave from 15 April 2025 to 17 April 2025 as I have personal reasons. I will ensure all tasks are handed over.

Sincerely,
Stephanie",169,29
Vacation Request,"Hi, I would like to apply for leave from 15 May 2025 to 18 May 2025 due to a medical appointment. Please confirm if this is approved.

Regards,
Jacob",149,29
Time Off Request,"Dear HR, I need a few days off from 12 February 2025 to 16 February 2025 because of personal reasons. Let me know if any formalities are needed.

Thanks,
Joanna",160,30
Urgent Leave Required,"Hi Team, Please note I will be on leave from 23 February 2025 to 28 February 2025 due to urgent travel. Feel free to reach me in case of urgent matters.

Regards,
Jenny",168,33
Annual Leave Plan,"Hello, I am writing to request leave for the dates 12 April 2025 to 15 April 2025. The reason for my absence is a medical appointment. Hoping for your understanding.

Best,
Candice",180,32
Leave Application,"Hello, I am writing to request leave for the dates 20 January 2025 to 24 January 2025. The reason for my absence is a family function. Hoping for your understanding.

Best,
Marissa",180,32
Request for Personal Leave,"Hello, I am writing to request leave for the dates 27 February 2025 to 02 March 2025. The reason for my absence is mental health reasons. Hoping for your understanding.

Best,
Jeremy",182,32
Family Emergency Leave,"Respected Manager, Kindly approve my leave from 04 February 2025 to 08 February 2025 as I have an emergency at home. I will ensure all tasks are handed over.

Sincerely,
Kevin",175,31
Request for Personal Leave,"Respected Manager, Kindly approve my leave from 18 May 2025 to 22 May 2025 as I have a family function. I will ensure all tasks are handed over.

Sincerely,
Amanda",163,30
Sick Leave Application,"Respected Manager, Kindly approve my leave from 23 February 2025 to 28 February 2025 as I have vacation plans. I will ensure all tasks are handed over.

Sincerely,
Brandon",171,29
Request for Personal Leave,"Dear HR, I need a few days off from 11 January 2025 to 15 January 2025 because of a medical appointment. Let me know if any formalities are needed.

Thanks,
Angela",163,31
Urgent Leave Required,"Hi Team, Please note I will be on leave from 16 May 2025 to 21 May 2025 due to an emergency at home. Feel free to reach me in case of urgent matters.

Regards,
Sherry",166,35
Request for Personal Leave,"Respected Manager, Kindly approve my leave from 04 May 2025 to 08 May 2025 as I have an illness. I will ensure all tasks are handed over.

Sincerely,
Miranda",157,29
Emergency Leave Needed,"Hi, I would like to apply for leave from 06 April 2025 to 09 April 2025 due to personal reasons. Please confirm if this is approved.

Regards,
Curtis",149,28
Annual Leave Plan,"Hi Team, Please note I will be on leave from 03 January 2025 to 04 January 2025 due to religious observances. Feel free to reach me in case of urgent matters.

Regards,
Audrey",175,33
Emergency Leave Needed,"Dear HR, I need a few days off from 02 April 2025 to 05 April 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Timothy",162,33
Emergency Leave Needed,"Respected Manager, Kindly approve my leave from 08 March 2025 to 09 March 2025 as I have personal reasons. I will ensure all tasks are handed over.

Sincerely,
Jack",164,29
Emergency Leave Needed,"Dear HR, I need a few days off from 10 January 2025 to 12 January 2025 because of mental health reasons. Let me know if any formalities are needed.

Thanks,
Johnny",163,31
Request for Personal Leave,"Hello, I am writing to request leave for the dates 03 April 2025 to 05 April 2025. The reason for my absence is vacation plans. Hoping for your understanding.

Best,
Danny",171,31
Family Emergency Leave,"Hi Team, Please note I will be on leave from 13 January 2025 to 18 January 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
Richard",169,33
Family Emergency Leave,"Dear HR, I need a few days off from 15 January 2025 to 18 January 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Barbara",166,33
Time Off Request,"Hello, I am writing to request leave for the dates 14 May 2025 to 15 May 2025. The reason for my absence is vacation plans. Hoping for your understanding.

Best,
Brian",167,31
Vacation Request,"Hi, I would like to apply for leave from 29 January 2025 to 01 February 2025 due to mental health reasons. Please confirm if this is approved.

Regards,
Lisa",157,29
Medical Leave Application,"Respected Manager, Kindly approve my leave from 28 February 2025 to 05 March 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Christopher",179,30
Time Off Request,"Hi, I would like to apply for leave from 18 February 2025 to 22 February 2025 due to a family function. Please confirm if this is approved.

Regards,
David",155,29
Medical Leave Application,"Hi, I would like to apply for leave from 22 March 2025 to 25 March 2025 due to a medical appointment. Please confirm if this is approved.

Regards,
Catherine",157,29
Family Emergency Leave,"Hello, I am writing to request leave for the dates 01 May 2025 to 06 May 2025. The reason for my absence is religious observances. Hoping for your understanding.

Best,
Jeremiah",177,31
Time Off Request,"Hi, I would like to apply for leave from 12 April 2025 to 17 April 2025 due to religious observances. Please confirm if this is approved.

Regards,
Omar",152,28
Time Off Request,"Respected Manager, Kindly approve my leave from 27 March 2025 to 01 April 2025 as I have urgent travel. I will ensure all tasks are handed over.

Sincerely,
Kenneth",164,29
Family Emergency Leave,"Dear HR, I need a few days off from 25 April 2025 to 29 April 2025 because of religious observances. Let me know if any formalities are needed.

Thanks,
Veronica",161,30
Leave Application,"Respected Manager, Kindly approve my leave from 01 March 2025 to 05 March 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Ashley",171,30
Request for Personal Leave,"Hi, I would like to apply for leave from 12 January 2025 to 17 January 2025 due to personal reasons. Please confirm if this is approved.

Regards,
Chelsea",154,28
Emergency Leave Needed,"Hi Team, Please note I will be on leave from 20 January 2025 to 24 January 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
Stacey",168,33
Annual Leave Plan,"Respected Manager, Kindly approve my leave from 10 February 2025 to 15 February 2025 as I have personal reasons. I will ensure all tasks are handed over.

Sincerely,
Colleen",173,29
Medical Leave Application,"Hello, I am writing to request leave for the dates 21 February 2025 to 24 February 2025. The reason for my absence is an emergency at home. Hoping for your understanding.

Best,
Donna",183,33
Medical Leave Application,"Respected Manager, Kindly approve my leave from 31 January 2025 to 05 February 2025 as I have a family function. I will ensure all tasks are handed over.

Sincerely,
John",170,30
Request for Personal Leave,"Hi Team, Please note I will be on leave from 18 April 2025 to 21 April 2025 due to a medical appointment. Feel free to reach me in case of urgent matters.

Regards,
Charles",172,34
Urgent Leave Required,"Hi Team, Please note I will be on leave from 01 January 2025 to 04 January 2025 due to an illness. Feel free to reach me in case of urgent matters.

Regards,
Ricky",163,33
Sick Leave Application,"Hi Team, Please note I will be on leave from 14 May 2025 to 17 May 2025 due to a medical appointment. Feel free to reach me in case of urgent matters.

Regards,
Brittney",169,34
Sick Leave Application,"Hello, I am writing to request leave for the dates 26 February 2025 to 01 March 2025. The reason for my absence is an illness. Hoping for your understanding.

Best,
Antonio",172,31
Sick Leave Application,"Respected Manager, Kindly approve my leave from 25 February 2025 to 02 March 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Jasmine",175,30
Annual Leave Plan,"Dear HR, I need a few days off from 17 May 2025 to 21 May 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Michele",158,33
Annual Leave Plan,"Hi Team, Please note I will be on leave from 14 January 2025 to 15 January 2025 due to an emergency at home. Feel free to reach me in case of urgent matters.

Regards,
Grace",173,35
Medical Leave Application,"Respected Manager, Kindly approve my leave from 21 February 2025 to 22 February 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Kristin",180,32
Sick Leave Application,"Hello, I am writing to request leave for the dates 02 May 2025 to 04 May 2025. The reason for my absence is a wedding in the family. Hoping for your understanding.

Best,
Brittany",179,34
Emergency Leave Needed,"Dear HR, I need a few days off from 08 February 2025 to 10 February 2025 because of personal reasons. Let me know if any formalities are needed.

Thanks,
Ronald",160,30
Request for Personal Leave,"Hi Team, Please note I will be on leave from 16 April 2025 to 19 April 2025 due to a medical appointment. Feel free to reach me in case of urgent matters.

Regards,
Jeffrey",172,34
Annual Leave Plan,"Respected Manager, Kindly approve my leave from 29 January 2025 to 03 February 2025 as I have a family function. I will ensure all tasks are handed over.

Sincerely,
Rebekah",173,30
Family Emergency Leave,"Hello, I am writing to request leave for the dates 28 January 2025 to 30 January 2025. The reason for my absence is mental health reasons. Hoping for your understanding.

Best,
Charles",184,32
Sick Leave Application,"Hi Team, Please note I will be on leave from 02 February 2025 to 04 February 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Laura",171,33
Sick Leave Application,"Hello, I am writing to request leave for the dates 26 April 2025 to 30 April 2025. The reason for my absence is a family function. Hoping for your understanding.

Best,
Kaitlyn",176,32
Medical Leave Application,"Hi Team, Please note I will be on leave from 21 April 2025 to 23 April 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
Samantha",166,33
Vacation Request,"Hi Team, Please note I will be on leave from 27 March 2025 to 31 March 2025 due to urgent travel. Feel free to reach me in case of urgent matters.

Regards,
David",162,33
Emergency Leave Needed,"Dear HR, I need a few days off from 14 May 2025 to 17 May 2025 because of vacation plans. Let me know if any formalities are needed.

Thanks,
Kevin",147,30
Medical Leave Application,"Hello, I am writing to request leave for the dates 20 March 2025 to 25 March 2025. The reason for my absence is vacation plans. Hoping for your understanding.

Best,
Sherri",172,31
Vacation Request,"Hi Team, Please note I will be on leave from 08 April 2025 to 12 April 2025 due to religious observances. Feel free to reach me in case of urgent matters.

Regards,
Amber",170,33
Urgent Leave Required,"Hi Team, Please note I will be on leave from 27 March 2025 to 29 March 2025 due to urgent travel. Feel free to reach me in case of urgent matters.

Regards,
Christopher",168,33
Sick Leave Application,"Hello, I am writing to request leave for the dates 08 January 2025 to 11 January 2025. The reason for my absence is a family function. Hoping for your understanding.

Best,
Pamela",179,32
Medical Leave Application,"Hi Team, Please note I will be on leave from 04 March 2025 to 09 March 2025 due to a medical appointment. Feel free to reach me in case of urgent matters.

Regards,
Cassandra",174,34
Request for Personal Leave,"Dear HR, I need a few days off from 06 January 2025 to 09 January 2025 because of a medical appointment. Let me know if any formalities are needed.

Thanks,
Christopher",168,31
Vacation Request,"Dear HR, I need a few days off from 11 May 2025 to 15 May 2025 because of religious observances. Let me know if any formalities are needed.

Thanks,
Mary",153,30
Urgent Leave Required,"Hello, I am writing to request leave for the dates 22 April 2025 to 23 April 2025. The reason for my absence is urgent travel. Hoping for your understanding.

Best,
Brenda",171,31
Medical Leave Application,"Hi, I would like to apply for leave from 05 January 2025 to 06 January 2025 due to an emergency at home. Please confirm if this is approved.

Regards,
Yvonne",157,30
Urgent Leave Required,"Dear HR, I need a few days off from 11 May 2025 to 16 May 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Lori",155,33
Urgent Leave Required,"Dear HR, I need a few days off from 22 April 2025 to 23 April 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Billy",160,33
Leave Application,"Respected Manager, Kindly approve my leave from 04 February 2025 to 07 February 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Thomas",177,30
Sick Leave Application,"Respected Manager, Kindly approve my leave from 07 May 2025 to 09 May 2025 as I have a family function. I will ensure all tasks are handed over.

Sincerely,
Scott",162,30
Time Off Request,"Hello, I am writing to request leave for the dates 24 February 2025 to 26 February 2025. The reason for my absence is vacation plans. Hoping for your understanding.

Best,
Howard",178,31
Family Emergency Leave,"Hi, I would like to apply for leave from 24 April 2025 to 25 April 2025 due to a medical appointment. Please confirm if this is approved.

Regards,
Ryan",152,29
Vacation Request,"Hi Team, Please note I will be on leave from 06 April 2025 to 08 April 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Tanya",165,33
Family Emergency Leave,"Hi, I would like to apply for leave from 02 April 2025 to 07 April 2025 due to an emergency at home. Please confirm if this is approved.

Regards,
Michael",154,30
Vacation Request,"Hi, I would like to apply for leave from 06 March 2025 to 08 March 2025 due to an illness. Please confirm if this is approved.

Regards,
Manuel",143,28
Leave Application,"Hi Team, Please note I will be on leave from 21 January 2025 to 23 January 2025 due to an emergency at home. Feel free to reach me in case of urgent matters.

Regards,
Mia",171,35
Time Off Request,"Hello, I am writing to request leave for the dates 06 March 2025 to 07 March 2025. The reason for my absence is a medical appointment. Hoping for your understanding.

Best,
Robert",179,32
Family Emergency Leave,"Hi Team, Please note I will be on leave from 07 April 2025 to 12 April 2025 due to a family function. Feel free to reach me in case of urgent matters.

Regards,
Keith",166,34
Family Emergency Leave,"Respected Manager, Kindly approve my leave from 19 March 2025 to 21 March 2025 as I have personal reasons. I will ensure all tasks are handed over.

Sincerely,
Lisa",164,29
Urgent Leave Required,"Respected Manager, Kindly approve my leave from 17 April 2025 to 18 April 2025 as I have mental health reasons. I will ensure all tasks are handed over.

Sincerely,
Benjamin",173,30
Emergency Leave Needed,"Dear HR, I need a few days off from 18 January 2025 to 23 January 2025 because of an emergency at home. Let me know if any formalities are needed.

Thanks,
Leonard",163,32
Request for Personal Leave,"Hi, I would like to apply for leave from 04 March 2025 to 09 March 2025 due to a wedding in the family. Please confirm if this is approved.

Regards,
Darrell",157,31
Annual Leave Plan,"Hi Team, Please note I will be on leave from 20 March 2025 to 25 March 2025 due to religious observances. Feel free to reach me in case of urgent matters.

Regards,
Michelle",173,33
Annual Leave Plan,"Hello, I am writing to request leave for the dates 01 January 2025 to 02 January 2025. The reason for my absence is an emergency at home. Hoping for your understanding.

Best,
Diane",181,33
Leave Application,"Respected Manager, Kindly approve my leave from 16 April 2025 to 20 April 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Steven",173,32
Leave Application,"Respected Manager, Kindly approve my leave from 11 January 2025 to 14 January 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Jacob",174,30
Emergency Leave Needed,"Respected Manager, Kindly approve my leave from 12 March 2025 to 13 March 2025 as I have mental health reasons. I will ensure all tasks are handed over.

Sincerely,
Cindy",170,30
Sick Leave Application,"Hi Team, Please note I will be on leave from 07 April 2025 to 08 April 2025 due to a wedding in the family. Feel free to reach me in case of urgent matters.

Regards,
Colleen",174,36
Medical Leave Application,"Hello, I am writing to request leave for the dates 11 January 2025 to 13 January 2025. The reason for my absence is vacation plans. Hoping for your understanding.

Best,
James",175,31
Sick Leave Application,"Hello, I am writing to request leave for the dates 17 April 2025 to 19 April 2025. The reason for my absence is a medical appointment. Hoping for your understanding.

Best,
David",178,32
Leave Application,"Hi, I would like to apply for leave from 25 February 2025 to 28 February 2025 due to urgent travel. Please confirm if this is approved.

Regards,
Samuel",152,28
Emergency Leave Needed,"Respected Manager, Kindly approve my leave from 16 May 2025 to 17 May 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Todd",167,32
Annual Leave Plan,"Hello, I am writing to request leave for the dates 06 January 2025 to 10 January 2025. The reason for my absence is religious observances. Hoping for your understanding.

Best,
Teresa",183,31
Vacation Request,"Respected Manager, Kindly approve my leave from 29 April 2025 to 30 April 2025 as I have urgent travel. I will ensure all tasks are handed over.

Sincerely,
Lauren",163,29
Medical Leave Application,"Respected Manager, Kindly approve my leave from 18 May 2025 to 19 May 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Eric",167,32
Request for Personal Leave,"Hello, I am writing to request leave for the dates 17 April 2025 to 20 April 2025. The reason for my absence is an emergency at home. Hoping for your understanding.

Best,
Alexander",181,33
Time Off Request,"Dear HR, I need a few days off from 21 March 2025 to 25 March 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Christopher",166,33
Time Off Request,"Hi Team, Please note I will be on leave from 23 January 2025 to 27 January 2025 due to a wedding in the family. Feel free to reach me in case of urgent matters.

Regards,
Steven",177,36
Vacation Request,"Hi, I would like to apply for leave from 23 January 2025 to 24 January 2025 due to an emergency at home. Please confirm if this is approved.

Regards,
Deborah",158,30
Urgent Leave Required,"Hi Team, Please note I will be on leave from 30 January 2025 to 04 February 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Tyrone",171,33
Vacation Request,"Hi, I would like to apply for leave from 26 February 2025 to 01 March 2025 due to a medical appointment. Please confirm if this is approved.

Regards,
William",158,29
Medical Leave Application,"Hello, I am writing to request leave for the dates 23 February 2025 to 26 February 2025. The reason for my absence is an illness. Hoping for your understanding.

Best,
Robert",174,31
Family Emergency Leave,"Hello, I am writing to request leave for the dates 04 April 2025 to 08 April 2025. The reason for my absence is personal reasons. Hoping for your understanding.

Best,
Tina",172,31
Medical Leave Application,"Respected Manager, Kindly approve my leave from 17 February 2025 to 21 February 2025 as I have a family function. I will ensure all tasks are handed over.

Sincerely,
Stephen",174,30
Family Emergency Leave,"Hi, I would like to apply for leave from 29 January 2025 to 02 February 2025 due to an illness. Please confirm if this is approved.

Regards,
Patrick",149,28
Request for Personal Leave,"Hi Team, Please note I will be on leave from 27 April 2025 to 01 May 2025 due to a wedding in the family. Feel free to reach me in case of urgent matters.

Regards,
William",172,36
Sick Leave Application,"Hi Team, Please note I will be on leave from 27 January 2025 to 28 January 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Michelle",172,33
Time Off Request,"Hi, I would like to apply for leave from 23 February 2025 to 24 February 2025 due to personal reasons. Please confirm if this is approved.

Regards,
Kendra",155,28
Emergency Leave Needed,"Hello, I am writing to request leave for the dates 22 March 2025 to 25 March 2025. The reason for my absence is a wedding in the family. Hoping for your understanding.

Best,
Matthew",182,34
Family Emergency Leave,"Dear HR, I need a few days off from 09 April 2025 to 10 April 2025 because of mental health reasons. Let me know if any formalities are needed.

Thanks,
Joseph",159,31
Time Off Request,"Hello, I am writing to request leave for the dates 01 January 2025 to 04 January 2025. The reason for my absence is a wedding in the family. Hoping for your understanding.

Best,
Justin",185,34
Request for Personal Leave,"Hi Team, Please note I will be on leave from 27 February 2025 to 04 March 2025 due to personal reasons. Feel free to reach me in case of urgent matters.

Regards,
Mary",167,33
Medical Leave Application,"Respected Manager, Kindly approve my leave from 23 April 2025 to 27 April 2025 as I have a wedding in the family. I will ensure all tasks are handed over.

Sincerely,
Yolanda",174,32
Emergency Leave Needed,"Dear HR, I need a few days off from 06 April 2025 to 07 April 2025 because of a family function. Let me know if any formalities are needed.

Thanks,
Michelle",157,31
Time Off Request,"Hi Team, Please note I will be on leave from 28 March 2025 to 02 April 2025 due to an emergency at home. Feel free to reach me in case of urgent matters.

Regards,
Amanda",170,35
Request for Personal Leave,"Hello, I am writing to request leave for the dates 09 March 2025 to 12 March 2025. The reason for my absence is an illness. Hoping for your understanding.

Best,
Martin",168,31
Emergency Leave Needed,"Hello, I am writing to request leave for the dates 16 April 2025 to 21 April 2025. The reason for my absence is an illness. Hoping for your understanding.

Best,
Nicholas",170,31
Emergency Leave Needed,"Hi, I would like to apply for leave from 04 March 2025 to 05 March 2025 due to personal reasons. Please confirm if this is approved.

Regards,
Molly",148,28
Time Off Request,"Hi, I would like to apply for leave from 16 May 2025 to 18 May 2025 due to vacation plans. Please confirm if this is approved.

Regards,
John",141,28
Medical Leave Application,"Hi Team, Please note I will be on leave from 16 March 2025 to 19 March 2025 due to a medical appointment. Feel free to reach me in case of urgent matters.

Regards,
Jesus",170,34
Annual Leave Plan,"Dear HR, I need a few days off from 21 March 2025 to 24 March 2025 because of an illness. Let me know if any formalities are needed.

Thanks,
Bradley",149,30
Sick Leave Application,"Dear HR, I need a few days off from 02 April 2025 to 05 April 2025 because of religious observances. Let me know if any formalities are needed.

Thanks,
Janet",158,30
Request for Personal Leave,"Dear HR, I need a few days off from 16 March 2025 to 18 March 2025 because of personal reasons. Let me know if any formalities are needed.

Thanks,
Paul",152,30
Time Off Request,"Hi Team, Please note I will be on leave from 09 May 2025 to 10 May 2025 due to a wedding in the family. Feel free to reach me in case of urgent matters.

Regards,
Laura",168,36
Family Emergency Leave,"Hi Team, Please note I will be on leave from 07 May 2025 to 10 May 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
Tina",158,33
Sick Leave Application,"Hi, I would like to apply for leave from 07 April 2025 to 12 April 2025 due to a medical appointment. Please confirm if this is approved.

Regards,
Tammie",154,29
Vacation Request,"Hi Team, Please note I will be on leave from 25 January 2025 to 29 January 2025 due to vacation plans. Feel free to reach me in case of urgent matters.

Regards,
Wayne",167,33
Urgent Leave Required,"Hi, I would like to apply for leave from 25 April 2025 to 29 April 2025 due to mental health reasons. Please confirm if this is approved.

Regards,
Martin",154,29
Sick Leave Application,"Hello, I am writing to request leave for the dates 20 January 2025 to 23 January 2025. The reason for my absence is a medical appointment. Hoping for your understanding.

Best,
Morgan",183,32
Time Off Request,"Dear HR, I need a few days off from 27 March 2025 to 01 April 2025 because of a wedding in the family. Let me know if any formalities are needed.

Thanks,
Cory",159,33
Annual Leave Plan,"Dear HR, I need a few days off from 30 March 2025 to 04 April 2025 because of personal reasons. Let me know if any formalities are needed.

Thanks,
Alexis",154,30
Urgent Leave Required,"Hi, I would like to apply for leave from 28 January 2025 to 02 February 2025 due to a family function. Please confirm if this is approved.

Regards,
Robert",155,29
Annual Leave Plan,"Dear HR, I need a few days off from 08 May 2025 to 10 May 2025 because of an illness. Let me know if any formalities are needed.

Thanks,
Tara",142,30
Sick Leave Application,"Respected Manager, Kindly approve my leave from 15 January 2025 to 18 January 2025 as I have urgent travel. I will ensure all tasks are handed over.

Sincerely,
Terrance",169,29
Annual Leave Plan,"Respected Manager, Kindly approve my leave from 21 February 2025 to 24 February 2025 as I have a medical appointment. I will ensure all tasks are handed over.

Sincerely,
Matthew",178,30
Emergency Leave Needed,"Dear HR, I need a few days off from 15 May 2025 to 20 May 2025 because of an illness. Let me know if any formalities are needed.

Thanks,
Raymond",145,30
Vacation Request,"Hi, I would like to apply for leave from 16 January 2025 to 21 January 2025 due to religious observances. Please confirm if this is approved.

Regards,
Melissa",159,28
Annual Leave Plan,"Hi Team, Please note I will be on leave from 11 May 2025 to 13 May 2025 due to mental health reasons. Feel free to reach me in case of urgent matters.

Regards,
Michele",168,34
Sick Leave Application,"Hi Team, Please note I will be on leave from 15 March 2025 to 17 March 2025 due to mental health reasons. Feel free to reach me in case of urgent matters.

Regards,
Stephanie",174,34
Medical Leave Application,"Hi, I would like to apply for leave from 02 May 2025 to 07 May 2025 due to a family function. Please confirm if this is approved.

Regards,
Jennifer",148,29
Request for Personal Leave,"Respected Manager, Kindly approve my leave from 05 April 2025 to 06 April 2025 as I have mental health reasons. I will ensure all tasks are handed over.

Sincerely,
Monique",172,30
